[Commit error]2021/11/09 15:23:16.074383 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.489430 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.499217 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.511911 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.512575 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.513054 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.529682 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:11.537767 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:53:16.851995 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.238118 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.239834 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.240708 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.241559 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.242297 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.243159 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.244037 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.245108 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/11 14:59:39.246231 /root/study/github_repository/pbft/pbft_commit.go:89: the verify of digest is wrong!
[Commit error]2021/11/13 22:43:01.555635 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
[Reply error]2021/11/13 22:43:02.083958 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084097 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084233 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084457 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084554 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084658 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:43:02.084774 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:56:03.078036 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:56:03.078398 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:56:05.701952 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:56:05.702069 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/13 22:56:05.702170 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:17:34.144918 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:17:34.146764 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:17:34.146920 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:11.291002 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:11.291171 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:25.565173 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:25.565642 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:25.565781 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Commit error]2021/11/26 13:18:39.186294 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
[Reply error]2021/11/26 13:18:39.887643 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.887910 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.888037 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.888166 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.888312 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.888490 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:39.888667 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Commit error]2021/11/26 13:18:51.623041 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
